parent_category	category	fallback_name	master_count	variant_count	tgv_leaf
	Events, parties and summer	CATALONIA FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	CHILD THERMIC BAG "INFANT BREAK"	1	5	bags/shopping-bags/non-woven-bags
	Events, parties and summer	COOLER BAG  "CALABRIA"	1	1	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER BAG "BAHÍA"	2	2	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER BAG "BRUNCH"	1	1	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER BAG “BRUNCH”	1	1	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER BAG "HILTON"	1	3	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER BAG "YAKY"	1	4	bags/specialty-bags/cooler-bags
	Events, parties and summer	COOLER SPORTS BAG "BREAK"	1	10	bags/specialty-bags/gym-and-sports-bags
	Events, parties and summer	COOLING BAG VELCRO "SKIMO"	1	4	bags/shopping-bags/non-woven-bags
	Events, parties and summer	CORK AND WOOD STOPPER WITH 8 IDENTIFICATION RINGS FOR GLASSES “TRIANA”	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	CORK FAN "NATUR"	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	COTTON BANDANA ESPAGNE "MAURO"	1	1	apparel-and-wearables/sportswear-and-activewear
	Events, parties and summer	COTTON BANDANA FRANCE "MAURO"	1	1	apparel-and-wearables/sportswear-and-activewear
	Events, parties and summer	COTTON BANDANA PORTUGAL "MAURO"	1	1	apparel-and-wearables/sportswear-and-activewear
	Events, parties and summer	COTTON BATHROBE "DUNA"	1	1	apparel-and-wearables/sportswear-and-activewear
	Events, parties and summer	CRAYONS FRENCH FLAG "PLEM"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	CRAYONS ITALIAN FLAG "PLEM"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	CRAYONS PORTUGUESE FLAG "PLEM"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	CRAYONS SPANISH FLAG "PLEM"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	DRUMSTICKS COUPLE 1 USE "CLAPP"	2	13	drinkware/bottles/water-bottles
	Events, parties and summer	ECO CORK PORTABLE ASHTRAY “NURAL”	1	1	tools-and-keyrings/tools/lighters
	Events, parties and summer	ECO PORTABLE ASHTRAY "KRAFY"	1	1	tools-and-keyrings/tools/lighters
	Events, parties and summer	ELASTIC BELT-BAG + BIB NUMBER "MARATÓN"	1	1	bags/shopping-bags/non-woven-bags
	Events, parties and summer	FAN “ARRECIFE”	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	FAN "BENI"	1	7	lanyards-and-events/event-accessories/fans
	Events, parties and summer	FAN "CALPE"	1	5	lanyards-and-events/event-accessories/fans
	Events, parties and summer	FISHERMAN CAP "MARLY"	2	9	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	FLAG "TIGER"	1	7	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG FRANCE "SUPPORTER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG FRANCE "TIGER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG GERMANY "SUPPORTER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG ITALY "SUPPORTER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG ITALY "TIGER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG PORTUGAL "TIGER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG PORTUGAL"SUPPORTER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG SPAIN "SUPPORTER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAG SPAIN "TIGER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLAT COLORS FLAG "DRAC"	1	6	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	FLUORESCENT BRACELET "FESTIVAL"	1	3	lanyards-and-events/wristbands
	Events, parties and summer	FOLDABLE COOLER BAG "SIMBA"	1	6	bags/specialty-bags/cooler-bags
	Events, parties and summer	FOLDING FRISBEE SPAIN "UXO"	1	1	kids-and-games/toys-and-plush/outdoor-and-indoor-games
	Events, parties and summer	FRIDGE CAPACITY 9 CANS "PALUK"	1	3	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	FRISBEE "JASO"	1	2	kids-and-games/toys-and-plush/outdoor-and-indoor-games
	Events, parties and summer	GALICIA FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	GLASSES CASE "ORSON"	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	HAMMOCK COVER TOWEL-PAREO BAG  "CABO ROIG"	1	3	bags/shopping-bags/non-woven-bags
	Events, parties and summer	HAT "BOB"	1	1	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	HAT FEATHER "POLACO"	1	2	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	ITALY SUPPORTER PENNON "JANO"	1	1	office-and-writing/writing-instruments/ball-pens
	Events, parties and summer	KEY-RING + WHISTLE "BALL" (5 PCS)	1	1	tools-and-keyrings/keyrings/basic-keyrings
	Events, parties and summer	LIGHT TOWEL "CALAFONT"	1	5	home-and-living/textiles/towels
	Events, parties and summer	MICROFIBER GLASSES COVER "SABRINA"	1	5	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	MICROFIBER TOWEL "ALTET"	1	6	home-and-living/textiles/towels
	Events, parties and summer	MICROFIBER TOWEL "BOLNUEVO"	1	6	home-and-living/textiles/towels
	Events, parties and summer	MICROFIBER TOWEL “BOLNUEVO”	1	1	home-and-living/textiles/towels
	Events, parties and summer	MICROFIBER TOWEL "CAMPOAMOR"	1	6	home-and-living/textiles/towels
	Events, parties and summer	MICROFIBER TOWEL "GYM"	1	7	home-and-living/textiles/towels
	Events, parties and summer	MINI FAN "CARTUJA"	1	3	lanyards-and-events/event-accessories/fans
	Events, parties and summer	MULTICOLOR FLAG "TIGER"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	MULTICOLOUR CAR FLAG "DIVAR"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	MULTICOLOUR PARTY FLAG WITH LACES "DECOR"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	MULTICOLOUR PLASTIC FAN "CARMONA"	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	MULTICOLOUR WOODEN FAN 16 BARS "SEVILLA"	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	NATURE-INSPIRED HAT "BODA"	1	1	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	ORGANIC COTTON TOWEL-PAREO BAG "ISLAS MENORES"	1	1	bags/shopping-bags/cotton-and-canvas
	Events, parties and summer	PAREO TOWEL "MARINER"	1	2	home-and-living/textiles/towels
	Events, parties and summer	PARTY FLAG "MIRT"	1	10	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	PARTY FLAG WITH LACES "DECOR"	1	6	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	PARTY FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	PLASTIC FAN	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	PLASTIC FAN "CARMONA"	1	12	lanyards-and-events/event-accessories/fans
	Events, parties and summer	PORTUGAL SUPPORTER PENNON "JANO"	1	1	office-and-writing/writing-instruments/ball-pens
	Events, parties and summer	PREMIUM SUNGLASSES "DURANGO"	1	6	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	PREMIUM SUNGLASSES “DURANGO”	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	PVC COOLER BAG "QUEBEC"	1	3	bags/specialty-bags/cooler-bags
	Events, parties and summer	REFLECTIVE AUTOMATIC BRACELET "FITTER"	1	1	lanyards-and-events/wristbands
	Events, parties and summer	REGISTER BRACELET	1	1	lanyards-and-events/wristbands
	Events, parties and summer	REGISTER BRACELET “INDIE”	1	7	lanyards-and-events/wristbands
	Events, parties and summer	REGISTER BRACELET “LIBER”	1	6	lanyards-and-events/wristbands
	Events, parties and summer	RGB LUMINOUS BRACELET "PODIUM"	1	1	lanyards-and-events/wristbands
	Events, parties and summer	RPET COOLER BAG "TERRANOVA"	1	3	bags/specialty-bags/cooler-bags
	Events, parties and summer	SOLAR ECLIPSE GLASSES "ECLIPSE" (SHEET OF 8 PCS)	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SPAIN FAN "MARISMA"	1	3	lanyards-and-events/event-accessories/fans
	Events, parties and summer	SPAIN FLAG "DRAC"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	SPAIN FLAG 100x70CM "NACIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	SPAIN FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	SPAIN SUPPORTER PENNON "JANO"	1	1	office-and-writing/writing-instruments/ball-pens
	Events, parties and summer	SPANISH FLAG FOLDABLE PAY PAY "BRISSA"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	SUNGLASSES "ALANA"	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUNGLASSES “BASIC”	1	8	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUNGLASSES "BENTON"	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUNGLASSES HEART SHAPED “SINGLE PARTY”	1	2	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUNGLASSES WITH BLUE LENSES “DIFFERENT”	1	1	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUNGLASSES WOOD COLOR “RANSOM”	1	2	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	SUPPORTER PENNON "JANO"	1	13	office-and-writing/writing-instruments/ball-pens
	Events, parties and summer	TERRY COTTON TOWEL PAREO "GALUA"	1	1	apparel-and-wearables/sportswear-and-activewear
	Events, parties and summer	TERRY TOWEL PAREO "CALA GALDANA"	1	3	home-and-living/textiles/towels
	Events, parties and summer	THERMAL BAG "BUFFET"	1	5	bags/shopping-bags/non-woven-bags
	Events, parties and summer	THERMO BAG "CALBLANQUE"	1	2	bags/shopping-bags/non-woven-bags
	Events, parties and summer	TOWEL - PAREO "MARINER"	1	7	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "CALA BONITA"	1	3	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "JALOQUE"	1	1	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "LEVANTE"	1	1	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "MISTRAL"	1	1	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "NORA"	1	1	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO "PORTO PRINCIPE"	1	4	home-and-living/textiles/towels
	Events, parties and summer	TOWEL PAREO BACKPACK "SOFT-ECO"	1	5	bags/backpacks/standard-backpacks
	Events, parties and summer	TOWEL-PAREO "SOFT-ECO"	1	3	home-and-living/textiles/towels
	Events, parties and summer	TRANSPARENT SUNGLASSES "COLUMBUS"	1	2	outdoor-and-leisure/travel-and-beach/sunglasses
	Events, parties and summer	ULTRA DRYING MICROFIBER TOWEL "NERJA"	1	7	home-and-living/textiles/towels
	Events, parties and summer	VARNISHED WOODEN FAN "BETTER"	1	2	lanyards-and-events/event-accessories/fans
	Events, parties and summer	VARNISHED WOODEN FAN “LUCENA”	1	3	lanyards-and-events/event-accessories/fans
	Events, parties and summer	VELCRO THERMO BAG "SKIMO"	1	1	bags/shopping-bags/non-woven-bags
	Events, parties and summer	VIP LUMINOUS LED BRACELET "FLASHING"	1	1	lanyards-and-events/wristbands
	Events, parties and summer	VIP LUMINOUS RGB LED BRACELET "FLASHING"	1	1	lanyards-and-events/wristbands
	Events, parties and summer	WATERPROOF BAG "BIG CAPACITY"	1	3	bags/specialty-bags/waterproof-bags
	Events, parties and summer	WATERPROOF CELL BAG "CAPACITY"	1	1	bags/shopping-bags/non-woven-bags
	Events, parties and summer	WATERPROOF COVER TABLET "CIBELES"	1	3	umbrellas-and-rainwear/rainwear/raincoats
	Events, parties and summer	WATERPROOF INFLATABLE BAG "KODIAC"	1	2	bags/shopping-bags/non-woven-bags
	Events, parties and summer	WHISTLE + LANYARD “STREET”	1	8	lanyards-and-events/lanyards
	Events, parties and summer	WOODEN FAN 16 BARS "SEVILLA"	1	11	lanyards-and-events/event-accessories/fans
	Events, parties and summer	WOODEN FAN 16 BARS “SEVILLA”	1	1	lanyards-and-events/event-accessories/fans
	Events, parties and summer	XL BELT BAG 5.5 “ALKOR”	1	2	bags/shopping-bags/non-woven-bags
	Health, grooming and pharmacy		2	2	home-and-living/personal-care-and-wellness/first-aid-kits
	Home		2	2	home-and-living/seasonal-and-event-items/household-accessories
	Key-rings		1	1	tools-and-keyrings/keyrings/basic-keyrings
	Kids and board games		1	1	kids-and-games/toys-and-plush/outdoor-and-indoor-games
	Kids and board games	BIB “COMILÓN”	1	1	home-and-living/kitchen-and-dining/aprons-and-gloves
	Kids and board games	GAME SET “DIVER”	1	1	tools-and-keyrings/tools/multi-tools
	Kids and board games	PP+SILICONE BIB  “BON APPETIT”	1	1	home-and-living/kitchen-and-dining/aprons-and-gloves
	Kids and board games	SET ECO DOMINO + CARDS “RECREO”	1	1	tools-and-keyrings/tools/multi-tools
	Labor, tools and vehicle accessories		1	1	tools-and-keyrings/tools/multi-tools
	Mousepad		3	11	electronics/computer-and-mobile-accessories/computer-mice-and-mousepads
	Outlet		10	22	seasonal-gifts
	Outlet	BAG "HALL"	1	1	bags/shopping-bags/non-woven-bags
	Outlet	BANDED VEST	1	1	apparel-and-wearables/workwear-and-safety
	Outlet	BONE-SHAPED ELONGATED KEYRING "HUESO"	1	1	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	CAR USB CHARGER "KLOSI"	1	2	electronics/power-and-charging/charging-cables-and-adapters
	Outlet	CERAMIC PHOTOFRAME TEDDY "OSITO"	1	2	kids-and-games/toys-and-plush/stuffed-animals
	Outlet	CRAFT PEN DOCTOR	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	CRYSTAL TOUCH-PEN "DOSTOIEVSKI"	1	3	office-and-writing/writing-instruments/ball-pens
	Outlet	EARPHONES ADAPTOR "DUO MORE"	1	1	electronics/audio-devices/earphones-and-headphones
	Outlet	ELONGATED CAR KEYRING "COCHE"	1	1	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	FILING BRIEFCASE ELASTIC BANDS "PALMER"	1	5	bags/specialty-bags/document-and-laptop-bags
	Outlet	FLAGS BELT	2	2	apparel-and-wearables/textile-accessories
	Outlet	HEART NOTEBOOK	1	1	office-and-writing/notebooks-and-planners/notebooks
	Outlet	KEY-RING "ETNIC"	1	4	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	KEYRING "AMAZING"	1	2	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	KEYRING CONNECTOR “DUO”	1	1	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	KEYRING PEN "CAPRICHO"	1	3	apparel-and-wearables/headwear/caps-and-hats
	Outlet	KITCHEN HAT "JEFF"	1	2	apparel-and-wearables/headwear/caps-and-hats
	Outlet	LANYARD CONNECTOR "DUO"	1	1	lanyards-and-events/lanyards
	Outlet	MAGIC TOUCH PEN	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	MOBILE PHONE HOLDER "SLUP"	1	3	electronics/computer-and-mobile-accessories/phone-holders-and-stands
	Outlet	MULTI FUNCTION BRIEFCASE "MURRAY"	1	2	bags/specialty-bags/document-and-laptop-bags
	Outlet	NOTEBOOK A6 "STYLUX"	1	1	office-and-writing/notebooks-and-planners/notebooks
	Outlet	P.DELONE ROLLER “DESIGN PLUS”	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	PEN "MALLA"	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	PEN “MARILIN”	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	POLYESTER SCARF	1	1	apparel-and-wearables/textile-accessories
	Outlet	PVC PEN CASE (EMPTY) "TURIM"	1	1	office-and-writing/writing-instruments/ball-pens
	Outlet	RECTANGULAR KEYRING "NEW LOCK"	1	1	tools-and-keyrings/keyrings/basic-keyrings
	Outlet	SMARTPHONE HOLDER “CLIO”	1	4	electronics/computer-and-mobile-accessories/phone-holders-and-stands
	Outlet	SMARTPHONE HOLDER "HOLD"	1	1	electronics/computer-and-mobile-accessories/phone-holders-and-stands
	Outlet	THERMO BAG "TERMIC"	1	1	bags/shopping-bags/non-woven-bags
	Textile, casual and sport	T-SHIRT BOX “VALKAN”	1	1	apparel-and-wearables/t-shirts
	Toiletry bags		1	2	accommodation-and-travel/toiletry-bags
	Trophies & tributes		17	18	office-and-writing/office-accessories/trophies-and-paperweights
	Watches and weather stations		1	1	home-and-living/home-decor/clocks-and-weather-stations
	Wines & Cocktails	FELT WINE BAG “INAZAR”	1	4	bags/shopping-bags/non-woven-bags
	Writing		1	1	office-and-writing/writing-instruments/ball-pens
	Writing	HEXAGONAL BAMBOO PENCIL ”PREMIUM HOTEL"	1	1	office-and-writing/writing-instruments/pencils
	Writing	MULTICOLOUR WOOD PENCIL ”ARCOIRIS"	1	1	office-and-writing/writing-instruments/pencils
	Writing	ROUND BAMBOO PENCIL ”PREMIUM HOTEL"	1	1	office-and-writing/writing-instruments/pencils
	Writing	SET 6 WAX FLUO CRAYONS "LUMYNI"	1	1	tools-and-keyrings/tools/multi-tools
Accessories & Details	Air fresheners		1	3	tools-and-keyrings/car-accessories/car-air-fresheners
Accessories & Details	Bagholders and Perfumers		7	17	tools-and-keyrings/car-accessories/car-air-fresheners
Accessories & Details	belts		6	11	apparel-and-wearables/textile-accessories
Accessories & Details	Jewelers and bracelets		34	60	lanyards-and-events/wristbands
Accessories & Details	Souvenirs and Little boxes		61	102	seasonal-gifts
Accessories & Details	Ties & Scarves		20	25	apparel-and-wearables/textile-accessories
Articles for sublimation	Bags and backpacks		10	11	bags/backpacks/standard-backpacks
Articles for sublimation	Bottles and drums		9	13	drinkware/bottles/water-bottles
Articles for sublimation	Cups and jugs		10	14	drinkware/mugs-and-cups/glass-mugs
Articles for sublimation	Lanyards		4	4	lanyards-and-events/lanyards
Articles for sublimation	Metopas		5	5	office-and-writing/office-accessories/trophies-and-paperweights
Articles for sublimation	Textile and umbrellas		19	51	apparel-and-wearables/sportswear-and-activewear
Backpack - bags	Cooler backpack/bag		1	2	bags/specialty-bags/cooler-bags
Backpack - bags	Cotton backpack - bag		10	26	bags/backpacks/standard-backpacks
Backpack - bags	Polyester backpack/bag		14	40	bags/backpacks/standard-backpacks
Backpacks, trolleys and briefcases	Backpacks		35	88	bags/backpacks/standard-backpacks
Backpacks, trolleys and briefcases	Briefcases		8	23	bags/specialty-bags/document-and-laptop-bags
Backpacks, trolleys and briefcases	Travel Items		7	14	accommodation-and-travel/travel-bags-and-luggage
Backpacks, trolleys and briefcases	Trolleys		10	19	accommodation-and-travel/travel-bags-and-luggage
Bags	Bags for bottles		1	1	bags/gift-bags
Bags	Bolsa Plegable		9	23	bags/shopping-bags/foldable-bags
Bags	Bolsas de algodón		47	106	bags/shopping-bags/cotton-and-canvas
Bags	Canvas cotton bag		4	10	bags/shopping-bags/cotton-and-canvas
Bags	Coated cardboard bag		3	11	bags/gift-bags
Bags	Gift Bag		17	68	bags/gift-bags
Bags	Jute bag		2	2	bags/shopping-bags/jute-bags
Bags	Non woven bags		30	212	bags/shopping-bags/non-woven-bags
Bags	Organza bag		1	1	bags/gift-bags
Bags	Paper bags		16	25	bags/gift-bags
Bags	Polypropylene bag		3	22	bags/shopping-bags/non-woven-bags
Bags	Recycled cotton bag		7	13	bags/shopping-bags/cotton-and-canvas
Bags	RPET bag		2	5	bags/shopping-bags/rpet-and-recycled-bags
Bags	Suede bag		1	1	bags/gift-bags
Bottles, drums and Thermos	Aluminum drums		4	21	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Bottles ECO		1	2	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Bottles Tritan and Rpet		1	4	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Drums		8	11	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Glass bottles and drums		8	15	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Steel drums		1	4	drinkware/bottles/water-bottles
Bottles, drums and Thermos	Thermos		3	16	drinkware/bottles/thermal-and-vacuum-flasks
Calendars, mats and almanacs	Almanacs		3	3	office-and-writing/notebooks-and-planners/diaries-and-almanacs
Calendars, mats and almanacs	Calendars		3	3	office-and-writing/notebooks-and-planners/diaries-and-almanacs
Calendars, mats and almanacs	Mouse Pad		2	9	electronics/computer-and-mobile-accessories/computer-mice-and-mousepads
Caps & hats	Cotton caps		10	52	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Cowboy caps and camouflage		6	7	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Felt Hats		1	4	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Fiber hats		6	12	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Polyester caps		13	61	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Polyester hats		6	31	apparel-and-wearables/headwear/caps-and-hats
Caps & hats	Straw hats		5	6	apparel-and-wearables/headwear/caps-and-hats
Christmas	Beanies		7	14	apparel-and-wearables/headwear/beanies
Christmas	Dolls		36	40	kids-and-games/toys-and-plush/stuffed-animals
Christmas	Textil		3	6	apparel-and-wearables/sportswear-and-activewear
CN❘Tex	Cotton		4	4	apparel-and-wearables/sportswear-and-activewear
CN❘Tex	Polyester		5	14	apparel-and-wearables/sportswear-and-activewear
Congresses, purses and card holders	Card holders, wallets and purses		41	115	office-and-writing/office-accessories/business-card-holders
Congresses, purses and card holders	Document holders and Folders		14	47	office-and-writing/office-accessories/folders-and-portfolios
Congresses, purses and card holders	Highlighters		8	8	office-and-writing/writing-instruments/highlighters
Congresses, purses and card holders	Lanyards and identifiers		36	113	lanyards-and-events/lanyards
